date,revenue_this_year,revenue_last_year,revenue_variance,revenue_pct_difference,orders_this_year,orders_last_year,orders_variance,orders_pct_difference,stock_value_jhb_this_year,stock_value_dbn_this_year,stock_value_cpt_this_year,stock_value_total_this_year,stock_value_jhb_last_year,stock_value_dbn_last_year,stock_value_cpt_last_year,stock_value_total_last_year
2026-03-07,149783.39,240124.69,-90341.30,-37.62,157,260,-103,-39.62,5880922.1899999995,1332860.47,2202775.1399999997,9416557.799999999,4661572.39,1597819.9699999997,2947844.19,9207236.549999999
2026-03-08,205755.79,117060.73,88695.06,75.77,212,142,70,49.3,5787798.419999999,1316059.5099999998,2129212.5399999996,9233070.469999999,4614225.869999999,1634048.0599999998,2925779.48,9174053.409999998
2026-03-09,355985.00,169129.25,186855.75,110.48,388,205,183,89.27,5814199.499999999,1291644.57,2091082.9399999995,9196927.009999998,4658762.569999999,1613551.1199999996,2905575.7199999997,9177889.41
2026-03-10,291977.51,209949.80,82027.71,39.07,340,206,134,65.05,5785147.500000001,1266247.4200000004,2243361.27,9294756.190000001,4622459.649999999,1634304.8199999996,2901128.8799999994,9157893.349999998
2026-03-11,279642.97,278484.24,1158.73,0.42,315,295,20,6.78,5755714.57,1330492.27,2259514.1299999994,9345720.969999999,4474319.73,1453835.39,2870104.0499999993,8798259.17
2026-03-12,192447.83,372927.64,-180479.81,-48.4,237,422,-185,-43.84,5726942.08,1542092.36,2254884.5699999994,9523919.01,4400729.600000001,1422634.2199999997,2876633.38,8699997.2
2026-03-13,206676.75,214271.73,-7594.98,-3.54,269,273,-4,-1.47,5705911.890000001,1551511.9499999997,2272762.17,9530186.01,4910422.88,1404912.44,2843594.79,9158930.11
2026-03-14,118226.43,134383.64,-16157.21,-12.02,157,168,-11,-6.55,5653812.28,1538027.2100000002,2255753.13,9447592.620000001,5107439.870000002,1462999.0099999998,2831568.9299999992,9402007.81
2026-03-15,183996.37,66979.19,117017.18,174.71,230,93,137,147.31,5569422.619999999,1520819.4000000001,2224061.6499999994,9314303.669999998,5086177.889999999,1456484.71,2824305.1099999994,9366967.709999997
2026-03-16,353411.37,107342.56,246068.81,229.24,461,135,326,241.48,5535337.67,1511570.7500000002,2185894.6799999997,9232803.1,5113130.090000002,1464636.7600000002,2807953.0500000003,9385719.900000002
